queue_id,priority,status,percent_complete,current_step,next_step,blocked_by,owner_modules,case_ids,reject_codes,last_update_utc,last_update_by,last_update_note,evidence_ref
P0-01,P0,DONE,100,Build/profile matrix and perf target implemented,P0-03 strict schema enforcement,,ScratchRobin/CMakeLists.txt|ScratchRobin/src/phases/phase09_packaging.cpp|ScratchRobin/tests/conformance/beta1b_conformance_vector.cpp,B1-CMP-001|B1-CMP-002|B1-CMP-003|B1-CMP-004|B1-CMP-005,SRB1-R-9001,2026-02-14T22:38:50Z,dcalford,Added normative SCRATCHROBIN_* option matrix and scratchrobin_perf_diagram target; conformance and ctest pass,build + ctest (14/14 pass)
P0-02,P0,DONE,100,Silverston editor now bidirectional with selection auto-load,QA visual verification,,ScratchRobin/src/gui/main_frame.cpp|ScratchRobin/src/gui/diagram_canvas.cpp|ScratchRobin/src/core/beta1b_contracts.h|ScratchRobin/src/core/beta1b_contracts.cpp,D1-CAN-001|D1-NOT-001|ALPHA-DIA-002,SRB1-R-6201|SRB1-R-6101|SRB1-R-5505,2026-02-15T01:22:09Z,codex,"Added canvas selection callback and auto-hydrated Silverston controls (type/icon/display/chamfer) from selected node in both embedded and detached diagram frames.",src/gui/diagram_canvas.cpp
P0-03,P0,DONE,100,Strict schema enforcement completed,Start P1-01 reporting runtime persistence,,ScratchRobin/src/core/beta1b_contracts.cpp|ScratchRobin/src/project/project_services.cpp|ScratchRobin/src/packaging/packaging_services.cpp,P1-SCH-001|P1-SCH-002|PKG-003,SRB1-R-3002|SRB1-R-5402|SRB1-R-9002,2026-02-14T22:51:24Z,dcalford,"Project/specset/packaging validators hardened with strict object-field, enum, path, hash and schema-id contracts",tests/integration/packaging_workflow_integration.cpp
P0-04,P0,DONE,100,Enterprise transport concrete integrations completed,Start P1-01 reporting runtime persistence,,ScratchRobin/src/connection/connection_services.cpp|ScratchRobin/src/core/beta1b_contracts.cpp|ScratchRobin/src/phases/phase04_backend.cpp,R1-ENT-001|R1-ENT-002|R1-ENT-003,SRB1-R-4004|SRB1-R-4005|SRB1-R-4006,2026-02-14T22:51:24Z,dcalford,Concrete secret/credential/identity stores validated with backend route determinism and failure-path coverage,tests/integration/connection_adapter_integration.cpp
P0-05,P0,DONE,100,Security policy manager workflows completed,Start P1-01 reporting runtime persistence,,ScratchRobin/src/ui/ui_workflow_services.cpp|ScratchRobin/src/core/beta1b_contracts.cpp|ScratchRobin/src/phases/phase05_ui.cpp,U1-SEC-001,SRB1-R-8301,2026-02-14T22:51:24Z,dcalford,Policy CRUD now verified with permission-deny and deterministic listing coverage,tests/integration/ui_workflow_integration.cpp
P0-06,P0,DONE,100,RRULE deterministic contracts completed,Start P1-01 reporting runtime persistence,,ScratchRobin/src/reporting/reporting_services.cpp|ScratchRobin/src/core/beta1b_contracts.cpp|ScratchRobin/src/phases/phase07_reporting.cpp,RPT-005|RPT-006|RPT-007|RPT-008,SRB1-R-7101|SRB1-R-7102|SRB1-R-7103|SRB1-R-7104,2026-02-14T22:51:24Z,dcalford,"Canonicalization/expansion now covers normalized BY* semantics, deterministic scheduling, and bounded candidate generation",tests/integration/reporting_workflow_integration.cpp
P0-07,P0,DONE,100,Conformance-depth hardening remediation closed,Remediation audit artifacts complete,,ScratchRobin/src/project/project_services.cpp|ScratchRobin/src/core/beta1b_contracts.cpp|ScratchRobin/src/phases/phase10_conformance_release.cpp,SPC-CNF-001|SPC-IDX-001|SPC-NRM-001,SRB1-R-5404|SRB1-R-5401|SRB1-R-5402,2026-02-15T00:54:39Z,codex,"Expanded D1-CAN-001 and RPT-001..RPT-004 assertions to enforce contract fields, reject paths, and deterministic ordering; recorded clause closure evidence.",docs/conformance/BETA1B_REMEDIATION_CLAUSE_CLOSURE_2026-02-15.md
P1-01,P1,DONE,100,Reporting frame/runtime remediation closed,Admin surface closure (masking/cdc/git),,ScratchRobin/src/reporting/reporting_services.cpp|ScratchRobin/src/core/beta1b_contracts.cpp|ScratchRobin/src/phases/phase07_reporting.cpp,RPT-001|RPT-002|RPT-003|RPT-004,SRB1-R-7101|SRB1-R-7001|SRB1-R-7002|SRB1-R-7003,2026-02-15T00:54:28Z,codex,Implemented dedicated ReportingFrame plus runtime contracts for question/dashboard/storage/cache/repository and tied to clause-level evidence.,docs/conformance/BETA1B_REMEDIATION_CLAUSE_CLOSURE_2026-02-15.md
P1-02,P1,DONE,100,Activity telemetry windows and retention completed,P1-03 spec workspace runtime,,ScratchRobin/src/reporting/reporting_services.cpp|ScratchRobin/src/core/beta1b_contracts.cpp|ScratchRobin/src/phases/phase07_reporting.cpp,RPT-009|RPT-010,SRB1-R-7202|SRB1-R-7203,2026-02-14T22:57:16Z,dcalford,Activity append/feed/query/summary/export/retention behaviors implemented with deterministic outputs,tests/integration/reporting_workflow_integration.cpp
P1-03,P1,DONE,100,Spec workspace coverage dashboards/work packages completed,P1-04 sql productivity persistence,,ScratchRobin/src/ui/ui_workflow_services.cpp|ScratchRobin/src/project/project_services.cpp|ScratchRobin/src/phases/phase10_conformance_release.cpp,SPC-COV-001|SPC-COV-002|SPC-COV-003|SPC-RPT-001|SPC-WPK-001|U1-SPW-001,SRB1-R-5403|SRB1-R-5405|SRB1-R-5406,2026-02-14T22:57:42Z,dcalford,Dashboard aggregation and work-package export are now concrete runtime workflows in UI/specset services,tests/integration/ui_workflow_integration.cpp
