execution_rank,phase_id,phase_name,phase_module_stub,case_id,area,feature,priority,gate_type,target_profile,baseline,reject_code_on_fail,implementation_status,implementation_notes,evidence_ref
1,00,Governance and Scaffolding,src/phases/phase00_governance.cpp,A0-LNT-001,governance,reject code registry and reference integrity,Critical,Reject,ci_strict,Implemented,SRB1-R-5407,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
2,00,Governance and Scaffolding,src/phases/phase00_governance.cpp,P1-GOV-001,governance,denied action has no side-effect,Critical,Behavior,full,Implemented,SRB1-R-3202,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
3,03,Project and Data Model,src/phases/phase03_project_data.cpp,P1-SER-001,project,project binary round-trip,Critical,Persistence,full,Implemented,SRB1-R-3101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
4,03,Project and Data Model,src/phases/phase03_project_data.cpp,P1-SER-002,project,mandatory chunk presence,Critical,Reject,full,Implemented,SRB1-R-3101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
5,04,Backend Adapter and Connection,src/phases/phase04_backend.cpp,R1-CON-001,connection,backend selection by mode,Critical,Behavior,full,Implemented,SRB1-R-4001,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
6,04,Backend Adapter and Connection,src/phases/phase04_backend.cpp,R1-CON-003,connection,capability gating reject,Critical,Reject,full,Implemented,SRB1-R-4101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
7,05,UI Surface and Workflows,src/phases/phase05_ui.cpp,U1-MAI-001,ui,main frame tree/inspector refresh,Critical,Behavior,full,Implemented,SRB1-R-5101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
8,05,UI Surface and Workflows,src/phases/phase05_ui.cpp,U1-MNU-001,ui,required top-level menu topology and handlers,Critical,Behavior,full,Implemented,SRB1-R-5101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
9,05,UI Surface and Workflows,src/phases/phase05_ui.cpp,U1-OBJ-001,ui,object manager CRUD workflow,Critical,Integration,full,Implemented,SRB1-R-5101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
10,05,UI Surface and Workflows,src/phases/phase05_ui.cpp,U1-SQL-001,ui,sql editor async run and export,Critical,Behavior,full,Implemented,SRB1-R-4205,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
11,06,Diagramming and Visual Modeling,src/phases/phase06_diagramming.cpp,D1-MOD-001,diagram,diagram model persistence,Critical,Persistence,full,Implemented,SRB1-R-6101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
12,06,Diagramming and Visual Modeling,src/phases/phase06_diagramming.cpp,D1-NOT-001,diagram,notation renderer factory coverage,Critical,Behavior,full,Implemented,SRB1-R-6101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
13,07,Reporting and Governance Integration,src/phases/phase07_reporting.cpp,RPT-001,reporting,question execution runtime,Critical,Behavior,full,Implemented,SRB1-R-7101,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
14,07,Reporting and Governance Integration,src/phases/phase07_reporting.cpp,RPT-006,reporting,rrule timezone and dst deterministic next-run,Critical,Behavior,full,Implemented,SRB1-R-7102,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
15,09,Build/Test/Packaging,src/phases/phase09_packaging.cpp,B1-CMP-001,build,full profile compile,Critical,Compile,full,Implemented,SRB1-R-9001,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
16,09,Build/Test/Packaging,src/phases/phase09_packaging.cpp,B1-CMP-002,build,no_scratchbird compile,Critical,Compile,no_scratchbird,Implemented,SRB1-R-9001,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
17,09,Build/Test/Packaging,src/phases/phase09_packaging.cpp,B1-CMP-003,build,test targets compile,Critical,Compile,ci_strict,Implemented,SRB1-R-9001,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
18,09,Build/Test/Packaging,src/phases/phase09_packaging.cpp,PKG-003,packaging,profile manifest schema validation,Critical,Reject,full,Implemented,SRB1-R-9002,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
19,09,Build/Test/Packaging,src/phases/phase09_packaging.cpp,PKG-005,packaging,surface id strict registry validation,Critical,Reject,full,Implemented,SRB1-R-9002,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
20,10,Conformance/Alpha/Release Gates,src/phases/phase10_conformance_release.cpp,ALPHA-DIA-001,alpha_preservation,silverston erd mandatory continuity set retained,Critical,Behavior,full,Implemented,SRB1-R-5503,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
21,10,Conformance/Alpha/Release Gates,src/phases/phase10_conformance_release.cpp,ALPHA-MIR-001,alpha_preservation,required alpha mirror files present,Critical,Behavior,full,Implemented,SRB1-R-5501,IMPLEMENTED,validated by case-id conformance runtime,tests/conformance/beta1b_conformance_vector.cpp
